ID,Type,Title,Price (EGP),Down Payment,Location Cluster,Full Address,Bedrooms,Bathrooms,Area (sqm),Agency Name,URL
88968114,Villa,Ready-to-Move Villa Lagoon View Old Price at Zayed,7950000,,Al  Rabwa,"Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4,220,Property Hills...,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-al-rabwa-88968114.html
88967923,Apartment,Prime Ground Floor with Garden in North Rehab,4000000,,El Rehab Extension,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",4,4,192,Milestone For Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-al-rehab-el-rehab-extension-88967923.html
88967972,Townhouse,Fully Finished Town Villa in MV Ras El Hekma,6950000,,Mountain View,"Mountain View, Ras Al Hekma, North Coast",3,3,170,Property Hills Star,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-north-coast-ras-al-hekma-mountain-view-88967972.html
88957477,Apartment,Prime Location Apt(flexi Finishing) in Villette,19000000,,Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,188,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-88957477.html
88967249,Chalet,FINISHED CHALET FOR SALE WITH LOWEST DP OVER 10 Y,25000000,1250000.0,June,"June, Ras Al Hekma, North Coast",2,2,102,Egypt Best Properties,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-june-88967249.html
86673641,Apartment,Direct on Jacaranda -Apt With Ac s-Eastown Sodic,18000000,,Eastown,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,225,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-86673641.html
86673762,Apartment,Under Market Apt With Acs-Eastown Sodic-Open View,12750000,,Eastown,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,150,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-86673762.html
88967257,Apartment,FINISHED APARTMENT FOR SALE WITH LARGE GARDEN,14000000,420000.0,Palm Hills New Cairo,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,152,Egypt Best Properties,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-88967257.html
88967695,Apartment,Readyto move Apt Finished Garden near MallofArabia,2300000,,Kayan,"Kayan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3,130,Property Hills Realty,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-kayan-88967695.html
88954279,Duplex,Resale Triplex 4 Bedrooms Open View Lowest Price,19500000,,Eastown,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,303,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-88954279.html
